pig_age_days,weight_kg,breed,daily_feed_kg,feed_freq,feed_type,fcr,weight_gain_kg_day,growth_stage,body_condition,temperature_c,health_status
71,20.9,LW_LR_Cross,1.07,3,Starter_2,1.52,0.706,starter,2.4,26.0,healthy
167,126.4,Duroc,4.31,3,Finisher_1,3.49,1.233,finisher,3.2,27.2,healthy
41,5.0,Large_White,0.3,4,Pre_Starter_1,1.87,0.163,pre_starter,2.3,28.8,sick
25,5.0,Duroc,0.34,4,Pre_Starter_2,1.58,0.216,pre_starter,2.4,24.3,healthy
112,64.3,Landrace,2.67,2,Grower_1,2.72,0.982,grower,2.7,28.5,healthy
81,31.7,Large_White,1.29,2,Grower_1,3.07,0.42,grower,2.7,26.5,recovering
42,5.0,Large_White,0.32,4,Pre_Starter_2,1.52,0.213,pre_starter,3.0,33.7,healthy
169,132.2,Duroc,5.31,2,Finisher_1,3.35,1.585,finisher,3.0,27.4,healthy
90,50.2,Duroc,2.39,3,Grower_1,2.63,0.909,grower,3.6,25.5,healthy
21,5.0,Large_White,0.33,4,Pre_Starter_2,1.58,0.208,pre_starter,3.3,28.9,healthy
153,106.0,Duroc,4.12,3,Finisher_1,3.42,1.205,finisher,3.4,28.3,healthy
32,5.0,LW_LR_Cross,0.33,3,Pre_Starter_1,1.53,0.216,pre_starter,2.8,30.0,healthy
110,72.7,Large_White,2.96,3,Grower_2,2.22,1.334,grower,2.9,25.8,healthy
66,12.7,Large_White,0.62,3,Starter_1,1.98,0.313,starter,3.0,31.8,healthy
54,5.0,Pietrain,0.25,3,Starter_1,1.79,0.142,starter,3.2,28.9,healthy
98,56.9,Large_White,2.41,3,Grower_1,3.06,0.786,grower,2.8,26.2,healthy
65,12.2,Duroc,0.66,3,Starter_2,1.79,0.366,starter,2.6,28.3,sick
175,118.1,Large_White,4.06,2,Finisher_1,3.27,1.243,finisher,3.2,29.6,healthy
93,38.7,Landrace,1.49,3,Grower_2,2.46,0.604,grower,2.6,29.2,healthy
46,5.0,Duroc,0.3,3,Pre_Starter_1,1.62,0.187,pre_starter,3.0,25.0,healthy
67,18.8,Duroc,1.09,3,Starter_2,2.1,0.517,starter,2.2,23.2,healthy
141,77.7,Pietrain,2.85,3,Finisher_1,3.17,0.897,finisher,2.9,24.6,healthy
76,27.4,LW_LR_Cross,1.52,2,Starter_1,1.81,0.839,starter,2.3,28.5,healthy
114,60.9,Pietrain,2.13,2,Grower_2,3.0,0.711,grower,2.7,28.9,healthy
127,106.4,Duroc,4.35,2,Grower_1,3.31,1.313,grower,2.7,22.0,healthy
83,34.5,Large_White,1.35,2,Grower_1,2.91,0.465,grower,2.6,28.7,healthy
68,10.6,Landrace,0.49,3,Starter_1,2.23,0.221,starter,2.0,26.1,healthy
81,34.1,Large_White,1.56,3,Grower_2,2.73,0.569,grower,2.8,25.0,healthy
101,39.9,Pietrain,1.56,2,Grower_1,2.53,0.617,grower,2.6,26.4,healthy
46,5.0,Landrace,0.3,4,Pre_Starter_2,1.47,0.205,pre_starter,2.8,28.1,healthy
56,6.5,Duroc,0.33,3,Starter_2,2.22,0.149,starter,2.5,27.8,healthy
21,5.0,Large_White,0.32,4,Pre_Starter_1,1.42,0.227,pre_starter,2.8,22.4,healthy
28,5.0,Pietrain,0.34,3,Pre_Starter_1,1.45,0.233,pre_starter,2.4,31.6,healthy
133,103.9,LW_LR_Cross,3.74,2,Finisher_2,4.17,0.896,finisher,3.2,29.6,recovering
119,59.4,Landrace,2.29,2,Grower_1,3.24,0.706,grower,3.4,28.4,healthy
67,13.8,LW_LR_Cross,0.7,3,Starter_2,2.03,0.344,starter,2.3,23.7,healthy
147,117.9,Large_White,4.01,3,Finisher_1,3.85,1.042,finisher,3.2,25.9,healthy
76,15.6,Landrace,0.77,2,Starter_1,1.76,0.434,starter,2.2,27.8,healthy
34,5.0,LW_LR_Cross,0.29,3,Pre_Starter_1,1.6,0.182,pre_starter,2.5,29.9,healthy
48,5.0,Landrace,0.27,3,Pre_Starter_1,1.52,0.18,pre_starter,2.0,30.7,healthy
98,57.3,LW_LR_Cross,2.33,3,Grower_1,2.91,0.803,grower,2.9,34.3,healthy
150,122.4,Large_White,4.32,3,Finisher_1,3.1,1.394,finisher,2.8,28.4,healthy
129,93.9,Large_White,3.68,3,Grower_1,2.41,1.525,grower,3.1,26.4,healthy
174,121.4,LW_LR_Cross,4.88,2,Finisher_1,3.33,1.464,finisher,3.1,29.9,healthy
34,5.0,Large_White,0.31,4,Pre_Starter_1,1.29,0.24,pre_starter,2.4,25.5,healthy
76,23.0,LW_LR_Cross,1.24,2,Starter_1,1.81,0.686,starter,2.8,28.9,healthy
135,91.9,LW_LR_Cross,3.5,2,Finisher_1,4.28,0.818,finisher,3.2,33.4,healthy
27,5.0,Large_White,0.3,4,Pre_Starter_1,1.68,0.18,pre_starter,2.4,27.2,healthy
23,5.0,Landrace,0.3,3,Pre_Starter_2,1.55,0.193,pre_starter,2.9,26.4,healthy
131,88.7,Large_White,2.88,2,Finisher_1,3.64,0.791,finisher,2.8,24.5,healthy
171,105.8,Landrace,3.83,2,Finisher_2,3.63,1.058,finisher,2.1,28.4,healthy
127,96.1,Large_White,3.75,2,Grower_1,2.75,1.361,grower,3.0,24.3,sick
38,5.0,Large_White,0.28,3,Pre_Starter_1,1.55,0.183,pre_starter,2.3,25.2,healthy
58,5.0,Landrace,0.27,2,Starter_1,2.19,0.124,starter,2.4,24.6,healthy
135,76.9,Landrace,2.34,2,Finisher_1,3.43,0.681,finisher,2.2,30.6,healthy
35,5.0,LW_LR_Cross,0.35,3,Pre_Starter_2,1.72,0.204,pre_starter,2.6,27.6,healthy
139,89.9,Pietrain,3.41,2,Finisher_1,3.43,0.995,finisher,2.7,31.4,healthy
48,5.0,Duroc,0.31,3,Pre_Starter_2,1.35,0.229,pre_starter,2.4,28.5,healthy
59,5.0,Landrace,0.28,3,Starter_1,2.05,0.136,starter,2.8,26.9,healthy
37,5.0,Pietrain,0.26,4,Pre_Starter_2,1.47,0.179,pre_starter,1.9,29.5,healthy
106,55.0,Landrace,2.32,2,Grower_2,2.74,0.847,grower,2.8,29.6,healthy
146,111.9,Duroc,4.12,2,Finisher_1,3.76,1.094,finisher,3.1,31.0,healthy
64,12.1,LW_LR_Cross,0.53,2,Starter_2,1.93,0.274,starter,2.6,25.8,healthy
45,5.0,Landrace,0.28,3,Pre_Starter_2,1.36,0.205,pre_starter,2.9,28.0,healthy
165,116.7,Duroc,4.22,2,Finisher_1,3.38,1.248,finisher,3.3,25.1,healthy
33,5.0,Pietrain,0.3,3,Pre_Starter_1,1.39,0.218,pre_starter,2.6,28.6,healthy
45,5.0,LW_LR_Cross,0.29,4,Pre_Starter_1,1.39,0.212,pre_starter,2.3,22.0,healthy
88,49.8,Duroc,2.05,3,Grower_1,3.04,0.673,grower,2.6,25.5,healthy
158,122.3,Large_White,4.48,2,Finisher_1,3.19,1.403,finisher,3.0,26.1,healthy
87,26.2,Landrace,1.06,3,Grower_2,2.83,0.376,grower,1.9,28.0,healthy
129,96.5,Large_White,3.83,2,Grower_1,2.72,1.411,grower,2.8,30.6,healthy
166,96.9,Pietrain,3.14,2,Finisher_2,3.47,0.905,finisher,3.3,23.6,healthy
131,105.5,Large_White,3.99,2,Finisher_1,2.89,1.381,finisher,2.8,30.1,healthy
131,103.4,LW_LR_Cross,3.59,3,Finisher_2,3.69,0.973,finisher,3.2,28.8,healthy
54,5.0,Large_White,0.23,2,Starter_1,1.94,0.116,starter,2.8,29.0,healthy
131,99.6,Large_White,3.37,2,Finisher_2,3.79,0.888,finisher,3.3,27.3,healthy
28,5.0,Landrace,0.31,3,Pre_Starter_2,1.56,0.197,pre_starter,2.4,29.8,healthy
133,114.6,Duroc,4.16,3,Finisher_1,3.51,1.183,finisher,2.9,27.5,healthy
103,56.8,Large_White,2.19,2,Grower_1,2.8,0.78,grower,2.8,25.8,healthy
62,6.1,Landrace,0.27,3,Starter_2,2.45,0.109,starter,2.3,27.5,healthy
121,75.5,Landrace,2.93,2,Grower_1,2.6,1.126,grower,2.6,28.3,healthy
26,5.0,Large_White,0.31,4,Pre_Starter_2,1.54,0.198,pre_starter,2.8,25.4,sick
46,5.0,Large_White,0.27,3,Pre_Starter_2,1.54,0.179,pre_starter,2.3,22.0,healthy
84,21.2,Pietrain,0.79,3,Grower_2,2.4,0.331,grower,2.7,29.7,healthy
79,20.0,Landrace,0.89,2,Starter_2,1.99,0.45,starter,2.7,26.1,healthy
129,85.4,Large_White,3.38,2,Grower_1,2.41,1.404,grower,2.9,22.0,healthy
141,87.3,Pietrain,3.33,2,Finisher_1,3.48,0.958,finisher,2.9,28.3,healthy
53,5.0,LW_LR_Cross,0.26,2,Starter_1,1.68,0.154,starter,2.7,27.6,healthy
170,122.3,Duroc,3.89,3,Finisher_1,3.61,1.075,finisher,3.4,24.6,healthy
41,5.0,Landrace,0.3,3,Pre_Starter_2,1.31,0.23,pre_starter,2.2,26.4,healthy
90,45.9,LW_LR_Cross,2.06,3,Grower_1,2.8,0.736,grower,2.4,30.4,healthy
132,117.4,LW_LR_Cross,3.7,2,Finisher_1,3.01,1.227,finisher,3.0,24.1,healthy
24,5.0,Pietrain,0.26,4,Pre_Starter_1,1.57,0.166,pre_starter,2.6,26.6,healthy
114,62.7,Landrace,2.51,3,Grower_1,2.78,0.902,grower,2.8,29.1,healthy
95,63.4,Duroc,2.64,3,Grower_2,2.75,0.96,grower,3.3,24.2,healthy
82,40.2,Duroc,1.84,2,Grower_1,2.84,0.649,grower,2.4,32.6,healthy
114,75.9,Large_White,3.0,3,Grower_2,2.93,1.022,grower,2.3,30.2,healthy
115,78.9,Landrace,3.28,2,Grower_1,2.59,1.27,grower,3.0,32.3,healthy
172,90.5,Pietrain,3.41,2,Finisher_1,3.49,0.974,finisher,2.9,27.9,healthy
75,29.1,Duroc,1.42,2,Starter_1,1.91,0.744,starter,2.6,31.8,healthy
157,92.5,Landrace,3.37,2,Finisher_1,3.89,0.867,finisher,3.1,28.3,healthy
151,110.2,Duroc,3.91,2,Finisher_1,3.38,1.158,finisher,2.5,27.3,recovering
51,5.0,Large_White,0.21,2,Starter_1,1.84,0.112,starter,2.0,25.2,recovering
60,5.0,Landrace,0.25,2,Starter_1,1.7,0.15,starter,1.9,28.7,healthy
56,5.0,Pietrain,0.25,3,Starter_1,1.95,0.128,starter,2.3,26.3,healthy
172,104.9,Large_White,3.18,2,Finisher_1,3.29,0.967,finisher,3.3,26.2,healthy
26,5.0,Large_White,0.29,3,Pre_Starter_2,1.55,0.186,pre_starter,2.1,28.3,healthy
86,47.7,LW_LR_Cross,1.86,2,Grower_2,2.86,0.65,grower,2.7,32.4,healthy
95,53.9,Large_White,2.29,2,Grower_1,2.93,0.78,grower,2.8,31.3,healthy
24,5.0,Large_White,0.26,4,Pre_Starter_1,1.31,0.199,pre_starter,3.0,30.0,healthy
99,64.4,LW_LR_Cross,2.65,3,Grower_1,2.12,1.252,grower,2.5,27.9,healthy
154,118.7,Duroc,3.49,2,Finisher_2,3.5,0.997,finisher,2.7,28.2,healthy
138,102.0,Duroc,3.87,3,Finisher_1,3.75,1.033,finisher,3.2,31.7,healthy
133,97.1,LW_LR_Cross,3.51,2,Finisher_1,3.38,1.036,finisher,2.6,29.3,healthy
114,92.0,Large_White,3.54,3,Grower_1,3.25,1.09,grower,3.2,22.0,healthy
82,42.0,Duroc,1.95,2,Grower_2,2.77,0.706,grower,2.8,34.1,healthy
99,41.9,Landrace,1.32,2,Grower_1,2.62,0.504,grower,2.1,27.9,healthy
156,96.9,Pietrain,3.22,2,Finisher_1,3.62,0.888,finisher,3.1,28.1,healthy
46,5.0,Landrace,0.32,4,Pre_Starter_1,1.71,0.189,pre_starter,2.7,28.5,healthy
64,12.6,Duroc,0.67,2,Starter_1,1.99,0.335,starter,2.5,28.2,healthy
153,95.6,Landrace,3.66,2,Finisher_1,3.73,0.983,finisher,2.7,27.5,healthy
90,39.5,Landrace,1.49,3,Grower_1,2.69,0.555,grower,3.1,24.3,healthy
174,100.4,Pietrain,3.29,2,Finisher_2,3.38,0.974,finisher,2.2,24.8,healthy
138,108.1,Duroc,4.39,2,Finisher_1,3.84,1.146,finisher,2.5,32.3,healthy
88,45.7,Duroc,2.05,3,Grower_2,2.36,0.87,grower,2.5,26.2,healthy
39,5.0,Landrace,0.35,3,Pre_Starter_1,1.34,0.263,pre_starter,2.7,30.8,healthy
40,5.0,Landrace,0.3,4,Pre_Starter_2,1.59,0.187,pre_starter,2.5,28.7,healthy
133,87.9,Duroc,3.29,3,Finisher_1,3.4,0.967,finisher,2.7,22.2,healthy
160,83.0,Pietrain,2.65,2,Finisher_1,3.59,0.739,finisher,3.0,24.8,healthy
67,16.5,Duroc,0.85,3,Starter_2,2.11,0.403,starter,2.0,26.0,healthy
21,5.0,LW_LR_Cross,0.33,3,Pre_Starter_1,1.3,0.256,pre_starter,2.6,29.8,healthy
110,49.3,Pietrain,1.87,2,Grower_2,2.47,0.759,grower,2.6,27.4,healthy
162,140.7,Duroc,4.81,2,Finisher_1,3.85,1.251,finisher,3.3,29.8,healthy
84,46.7,Duroc,1.91,2,Grower_2,2.7,0.706,grower,2.8,27.3,healthy
58,5.1,LW_LR_Cross,0.26,3,Starter_1,1.86,0.138,starter,2.7,29.6,healthy
57,6.7,Duroc,0.33,3,Starter_2,2.07,0.16,starter,2.3,25.3,healthy
146,86.8,Pietrain,2.77,2,Finisher_1,3.79,0.731,finisher,2.6,26.8,healthy
159,103.8,Duroc,3.49,2,Finisher_2,3.73,0.934,finisher,3.0,28.8,healthy
120,100.1,Duroc,4.07,3,Grower_2,2.92,1.396,grower,2.5,27.3,healthy
97,45.9,Large_White,2.0,3,Grower_1,3.09,0.646,grower,3.4,28.1,healthy
23,5.0,Landrace,0.3,4,Pre_Starter_2,1.58,0.187,pre_starter,3.0,28.1,healthy
154,124.0,LW_LR_Cross,5.36,2,Finisher_1,3.33,1.608,finisher,2.5,30.0,healthy
30,5.0,Duroc,0.29,3,Pre_Starter_2,1.54,0.192,pre_starter,2.6,28.1,healthy
25,5.0,Duroc,0.33,3,Pre_Starter_2,1.62,0.203,pre_starter,2.9,27.7,sick
171,103.3,LW_LR_Cross,3.76,2,Finisher_1,3.26,1.154,finisher,2.8,28.8,healthy
158,123.9,Duroc,4.81,2,Finisher_1,3.33,1.444,finisher,2.8,29.3,healthy
150,107.0,Landrace,3.48,2,Finisher_2,3.56,0.977,finisher,3.3,28.3,healthy
33,5.0,Pietrain,0.28,3,Pre_Starter_2,1.6,0.172,pre_starter,2.9,25.3,recovering
150,124.8,Duroc,4.75,2,Finisher_1,3.49,1.359,finisher,2.5,30.1,healthy
104,72.2,Large_White,2.78,3,Grower_1,2.86,0.97,grower,2.8,29.6,healthy
85,29.1,Landrace,0.99,2,Grower_1,2.18,0.454,grower,2.6,27.2,healthy
83,25.6,Landrace,1.1,3,Grower_2,3.2,0.344,grower,2.1,29.3,healthy
121,67.0,Landrace,2.8,2,Grower_1,2.99,0.936,grower,2.3,32.8,recovering
93,38.6,Landrace,1.46,2,Grower_2,2.98,0.491,grower,2.4,27.3,healthy
37,5.0,Landrace,0.3,3,Pre_Starter_1,1.6,0.188,pre_starter,2.5,27.9,healthy
29,5.0,Large_White,0.33,4,Pre_Starter_1,1.61,0.202,pre_starter,2.9,28.7,healthy
163,103.1,Landrace,3.94,3,Finisher_1,3.92,1.007,finisher,2.1,35.3,healthy
172,103.7,Large_White,3.66,3,Finisher_2,3.84,0.955,finisher,3.0,28.5,healthy
58,8.4,Duroc,0.42,2,Starter_1,2.09,0.201,starter,2.2,26.4,healthy
114,85.2,LW_LR_Cross,3.86,3,Grower_1,3.0,1.286,grower,3.0,24.8,healthy
115,87.4,Duroc,3.7,2,Grower_2,2.87,1.289,grower,3.2,27.1,healthy
69,11.0,Landrace,0.53,2,Starter_2,1.85,0.289,starter,2.9,27.9,recovering
89,38.8,Large_White,1.58,3,Grower_2,2.67,0.593,grower,2.6,29.5,healthy
82,29.4,Large_White,1.28,3,Grower_2,2.69,0.474,grower,2.5,28.0,healthy
98,44.1,Landrace,1.72,3,Grower_2,2.76,0.626,grower,3.1,28.1,healthy
137,97.4,Large_White,3.7,2,Finisher_2,3.43,1.078,finisher,2.8,28.5,healthy
140,92.7,Landrace,3.12,2,Finisher_1,3.15,0.991,finisher,2.9,28.4,healthy
157,110.3,Large_White,4.06,2,Finisher_1,3.56,1.14,finisher,2.8,31.1,healthy
96,31.6,Pietrain,1.11,3,Grower_1,2.98,0.373,grower,2.7,25.6,healthy
55,5.0,Landrace,0.27,3,Starter_2,1.91,0.139,starter,2.1,32.7,recovering
21,5.0,Large_White,0.28,3,Pre_Starter_1,1.45,0.195,pre_starter,2.4,31.4,healthy
60,5.0,Pietrain,0.25,3,Starter_2,2.15,0.114,starter,2.5,30.5,recovering
84,34.0,Landrace,1.19,2,Grower_1,2.85,0.416,grower,3.0,25.9,healthy
170,105.7,Large_White,3.71,3,Finisher_2,3.76,0.985,finisher,2.9,27.6,healthy
80,35.1,Duroc,1.87,3,Starter_1,2.15,0.871,starter,1.9,26.2,healthy
84,39.5,Duroc,1.57,3,Grower_2,2.6,0.605,grower,2.5,25.9,healthy
113,81.0,Duroc,3.38,2,Grower_1,2.86,1.182,grower,3.3,27.3,healthy
92,46.5,Large_White,1.9,3,Grower_2,2.95,0.643,grower,2.7,27.7,healthy
31,5.0,Landrace,0.31,3,Pre_Starter_1,1.4,0.221,pre_starter,2.3,27.1,healthy
125,88.1,Large_White,3.55,2,Grower_1,2.51,1.415,grower,2.6,28.1,healthy
34,5.0,Large_White,0.33,4,Pre_Starter_2,1.5,0.223,pre_starter,2.6,30.1,healthy
80,35.2,LW_LR_Cross,1.96,2,Starter_2,1.58,1.242,starter,2.4,29.9,healthy
50,5.0,Duroc,0.31,3,Pre_Starter_1,1.0,0.314,pre_starter,2.5,29.0,recovering
55,5.0,Landrace,0.22,2,Starter_2,2.12,0.103,starter,2.3,27.8,healthy
25,5.0,Duroc,0.3,4,Pre_Starter_1,1.39,0.218,pre_starter,2.3,27.0,healthy
103,72.2,Large_White,2.41,3,Grower_1,2.72,0.883,grower,2.7,28.7,healthy
143,115.2,LW_LR_Cross,4.05,3,Finisher_1,3.57,1.133,finisher,2.9,30.5,healthy
98,55.7,Large_White,2.46,3,Grower_1,2.79,0.882,grower,2.7,31.3,healthy
174,110.2,Large_White,4.12,2,Finisher_2,3.27,1.259,finisher,2.9,24.8,healthy
82,24.7,Landrace,0.97,2,Grower_1,3.29,0.296,grower,2.9,27.8,healthy
152,114.3,Duroc,3.94,2,Finisher_2,3.48,1.133,finisher,2.9,25.8,healthy
109,73.3,Duroc,3.11,2,Grower_2,3.49,0.89,grower,3.2,24.3,healthy
62,9.1,Large_White,0.53,3,Starter_2,1.81,0.293,starter,2.5,30.9,healthy
109,60.1,Landrace,2.62,2,Grower_1,2.71,0.968,grower,2.6,31.1,healthy
166,120.3,Landrace,4.07,2,Finisher_2,3.51,1.162,finisher,3.1,27.5,healthy
60,7.1,Large_White,0.31,3,Starter_1,2.01,0.156,starter,2.8,26.9,healthy
92,41.0,LW_LR_Cross,1.95,3,Grower_1,3.05,0.639,grower,2.4,27.1,healthy
59,5.6,Large_White,0.26,3,Starter_1,1.53,0.171,starter,2.1,23.6,healthy
124,64.9,Landrace,2.64,3,Grower_1,3.18,0.831,grower,3.1,30.7,healthy
34,5.0,Duroc,0.27,3,Pre_Starter_2,1.22,0.225,pre_starter,2.9,26.8,healthy
52,5.0,Large_White,0.24,3,Starter_2,1.84,0.132,starter,2.7,27.4,recovering
145,115.1,Duroc,3.66,3,Finisher_2,3.52,1.042,finisher,2.8,28.7,healthy
117,60.0,Pietrain,2.08,3,Grower_1,2.9,0.717,grower,2.7,22.9,healthy
43,5.0,Large_White,0.28,3,Pre_Starter_2,1.47,0.188,pre_starter,2.2,28.0,healthy
83,36.7,LW_LR_Cross,1.55,3,Grower_1,2.68,0.579,grower,3.0,28.3,healthy
163,116.4,Duroc,4.24,2,Finisher_2,3.5,1.212,finisher,3.1,26.6,healthy
173,131.8,Large_White,5.69,2,Finisher_2,3.38,1.682,finisher,3.2,33.3,healthy
165,106.0,Landrace,3.99,2,Finisher_1,3.83,1.043,finisher,3.0,25.0,healthy
73,14.5,Landrace,0.77,3,Starter_2,2.14,0.362,starter,2.6,29.2,healthy
124,92.8,Duroc,4.04,2,Grower_2,2.91,1.389,grower,2.9,25.4,healthy
124,62.7,Pietrain,2.43,2,Grower_1,3.06,0.795,grower,2.8,28.7,recovering
59,5.0,Pietrain,0.26,3,Starter_1,2.07,0.126,starter,2.9,25.2,healthy
154,117.5,LW_LR_Cross,3.34,3,Finisher_2,3.43,0.974,finisher,2.6,30.3,healthy
87,27.2,Pietrain,0.99,3,Grower_1,2.4,0.411,grower,2.4,28.9,healthy
155,121.0,Duroc,3.93,2,Finisher_1,4.06,0.968,finisher,2.9,23.9,healthy
62,5.7,Landrace,0.24,2,Starter_1,2.22,0.107,starter,2.5,28.4,healthy
35,5.0,Landrace,0.28,4,Pre_Starter_2,1.32,0.209,pre_starter,2.8,26.7,healthy
131,94.0,Large_White,2.97,2,Finisher_1,3.72,0.797,finisher,2.5,27.6,healthy
177,129.7,Duroc,5.25,2,Finisher_2,3.64,1.444,finisher,3.2,23.8,healthy
53,5.0,Landrace,0.25,3,Starter_2,1.81,0.136,starter,2.5,31.5,recovering
175,112.5,Large_White,3.26,3,Finisher_1,3.92,0.832,finisher,3.2,25.6,healthy
177,130.5,Large_White,4.69,2,Finisher_1,3.55,1.321,finisher,3.2,27.4,recovering
58,5.0,Landrace,0.23,3,Starter_2,1.77,0.127,starter,2.5,25.8,healthy
117,93.1,Duroc,3.93,2,Grower_2,2.5,1.574,grower,2.6,27.4,healthy
175,112.8,Landrace,4.0,3,Finisher_1,3.62,1.104,finisher,3.1,27.7,healthy
53,5.0,Duroc,0.25,2,Starter_2,1.81,0.136,starter,2.4,27.8,healthy
106,57.5,Landrace,2.29,2,Grower_1,2.62,0.875,grower,2.7,31.5,recovering
86,55.0,Duroc,2.38,3,Grower_1,2.91,0.819,grower,3.0,27.7,healthy
30,5.0,Large_White,0.3,3,Pre_Starter_1,1.4,0.211,pre_starter,3.0,32.0,healthy
25,5.0,Large_White,0.28,3,Pre_Starter_2,1.43,0.197,pre_starter,2.0,24.5,healthy
143,102.7,Duroc,3.78,2,Finisher_1,3.26,1.157,finisher,3.2,31.0,healthy
94,37.7,Landrace,1.46,3,Grower_2,2.97,0.492,grower,3.0,30.5,sick
117,84.5,Large_White,3.46,3,Grower_2,3.11,1.113,grower,2.8,30.7,healthy
138,87.8,Landrace,2.94,2,Finisher_2,2.99,0.985,finisher,2.5,33.3,healthy
58,5.7,Large_White,0.26,2,Starter_1,1.8,0.144,starter,2.6,22.0,healthy
161,110.4,Landrace,3.73,2,Finisher_1,2.83,1.32,finisher,2.9,22.8,recovering
179,125.6,Landrace,4.43,3,Finisher_1,3.54,1.251,finisher,4.1,28.1,healthy
67,16.8,Duroc,0.89,2,Starter_1,2.04,0.438,starter,2.7,22.8,sick
129,65.7,Pietrain,2.48,2,Grower_1,2.56,0.967,grower,2.6,23.0,healthy
35,5.0,Large_White,0.29,3,Pre_Starter_2,1.43,0.201,pre_starter,2.1,27.4,healthy
177,103.5,LW_LR_Cross,3.52,2,Finisher_2,3.64,0.969,finisher,2.6,26.8,healthy
156,88.6,Landrace,2.92,2,Finisher_1,3.97,0.738,finisher,3.1,23.5,healthy
25,5.0,Duroc,0.34,4,Pre_Starter_2,1.39,0.247,pre_starter,2.0,26.4,healthy
177,131.6,Duroc,4.44,2,Finisher_2,3.53,1.258,finisher,2.5,29.9,healthy
67,17.9,Duroc,0.95,2,Starter_1,2.11,0.449,starter,2.9,29.2,healthy
88,32.5,Landrace,1.15,3,Grower_2,3.25,0.355,grower,2.5,29.8,healthy
96,42.9,Landrace,1.78,2,Grower_1,2.9,0.613,grower,2.6,26.8,healthy
150,100.6,Large_White,3.36,2,Finisher_1,4.07,0.825,finisher,3.1,31.0,healthy
175,111.4,Large_White,3.62,2,Finisher_1,3.07,1.182,finisher,2.9,32.6,healthy
115,68.3,Landrace,2.72,2,Grower_1,2.9,0.938,grower,2.3,28.5,healthy
135,78.4,Landrace,2.12,2,Finisher_1,3.42,0.62,finisher,2.6,26.8,healthy
56,5.0,Landrace,0.22,3,Starter_1,2.0,0.11,starter,2.7,27.9,healthy
46,5.0,Large_White,0.31,4,Pre_Starter_2,1.32,0.235,pre_starter,2.5,24.9,healthy
63,12.5,Duroc,0.71,2,Starter_2,2.24,0.317,starter,3.0,27.1,healthy
47,5.0,LW_LR_Cross,0.32,4,Pre_Starter_2,1.59,0.2,pre_starter,2.6,29.5,healthy
89,53.1,LW_LR_Cross,2.19,2,Grower_2,2.85,0.767,grower,2.5,28.9,healthy
168,108.3,Landrace,4.48,2,Finisher_1,2.99,1.501,finisher,3.4,29.2,healthy
31,5.0,Duroc,0.33,4,Pre_Starter_2,1.64,0.2,pre_starter,3.0,23.9,healthy
94,53.6,LW_LR_Cross,2.02,3,Grower_1,2.63,0.766,grower,2.5,29.7,healthy
124,81.4,Landrace,3.44,2,Grower_1,2.6,1.319,grower,3.0,26.6,healthy
58,5.0,Landrace,0.23,2,Starter_1,1.7,0.137,starter,2.7,27.4,healthy
154,116.3,LW_LR_Cross,3.9,2,Finisher_1,3.4,1.147,finisher,3.1,26.2,healthy
43,5.0,Landrace,0.26,3,Pre_Starter_2,1.42,0.184,pre_starter,2.1,31.8,recovering
67,9.1,Landrace,0.43,3,Starter_1,2.27,0.19,starter,3.4,24.7,healthy
110,69.9,Large_White,2.54,2,Grower_1,2.55,0.996,grower,2.7,27.7,healthy
66,11.3,Large_White,0.59,3,Starter_2,1.86,0.317,starter,2.7,24.7,healthy
127,66.8,Pietrain,2.52,2,Grower_2,2.65,0.948,grower,3.1,30.4,recovering
160,107.8,Duroc,3.5,3,Finisher_1,3.25,1.075,finisher,2.8,28.3,healthy
161,117.8,Landrace,4.01,2,Finisher_1,3.1,1.294,finisher,3.4,25.3,healthy
124,89.4,Large_White,3.84,2,Grower_1,2.96,1.297,grower,2.9,28.2,healthy
131,103.7,Duroc,4.34,3,Finisher_1,3.45,1.259,finisher,2.7,25.9,healthy
124,95.6,Duroc,3.48,2,Grower_2,2.67,1.305,grower,2.5,30.1,recovering
80,30.0,Large_White,1.41,3,Starter_2,1.87,0.753,starter,2.5,33.1,healthy
120,97.5,LW_LR_Cross,3.59,3,Grower_2,2.83,1.269,grower,3.0,24.7,healthy
88,43.4,Large_White,1.78,3,Grower_1,2.64,0.676,grower,2.6,31.5,healthy
153,106.5,Landrace,3.21,2,Finisher_2,3.48,0.923,finisher,3.1,31.1,healthy
140,105.3,Duroc,4.22,2,Finisher_1,3.64,1.158,finisher,3.4,27.2,healthy
57,5.0,Large_White,0.28,3,Starter_1,2.07,0.133,starter,2.4,29.8,healthy
92,28.8,Pietrain,1.16,3,Grower_1,3.16,0.368,grower,3.0,28.6,healthy
147,114.7,Duroc,3.95,2,Finisher_2,3.79,1.043,finisher,3.0,27.9,healthy
126,78.4,Pietrain,2.83,2,Grower_2,2.88,0.983,grower,2.9,26.8,healthy
112,78.2,Large_White,3.02,2,Grower_1,2.9,1.043,grower,2.8,29.8,sick
51,5.0,Large_White,0.27,3,Starter_2,2.39,0.114,starter,2.6,26.7,healthy
142,99.7,Large_White,2.98,3,Finisher_1,3.26,0.914,finisher,2.7,30.5,healthy
157,94.5,Landrace,3.35,2,Finisher_1,3.65,0.918,finisher,2.7,25.8,healthy
71,23.7,Duroc,1.15,2,Starter_2,1.83,0.63,starter,2.4,33.2,healthy
